Year,Males,Females,Everyone
1900,46.3,48.3,47.3
1901,47.6,50.6,49.1
1902,49.8,53.4,51.6
1903,49.1,52,50.55
1904,46.2,49.1,47.65
1905,47.3,50.2,48.75
1906,46.9,50.8,48.85
1907,45.6,49.9,47.75
1908,49.5,52.8,51.15
1909,50.5,53.8,52.15
1910,48.4,51.8,50.1
1911,50.9,54.4,52.65
1912,51.5,55.9,53.7
1913,50.3,55,52.65
1914,52,56.8,54.4
1915,52.5,56.8,54.65
1916,49.6,54.3,51.95
1917,48.4,54,51.2
1918,36.6,42.2,39.4
1919,53.5,56,54.75
1920,53.6,54.6,54.1
1921,60,61.8,60.9
1922,58.4,61,59.7
1923,56.1,58.5,57.3
1924,58.1,61.5,59.8
1925,57.6,60.6,59.1
1926,55.5,58,56.75
1927,59,62.1,60.55
1928,55.6,58.3,56.95
1929,55.8,58.7,57.25
1930,58.1,61.6,59.85
1931,59.4,63.1,61.25
1932,61,63.5,62.25
1933,61.7,65.1,63.4
1934,59.3,63.3,61.3
1935,59.9,63.9,61.9
1936,56.6,60.6,58.6
1937,58,62.4,60.2
1938,61.9,65.3,63.6
1939,62.1,65.4,63.75
1940,60.8,65.2,63
1941,63.1,66.8,64.95
1942,64.7,67.9,66.3
1943,62.4,64.4,63.4
1944,63.6,66.8,65.2
1945,63.6,67.9,65.75
1946,64.4,69.4,66.9
1947,64.4,69.7,67.05
1948,64.6,69.9,67.25
1949,65.2,70.7,67.95
1950,65.6,71.1,68.35
1951,65.6,71.4,68.5
1952,65.8,71.6,68.7
1953,66,72,69
1954,66.7,72.8,69.75
1955,66.7,72.8,69.75
1956,66.7,72.9,69.8
1957,66.4,72.7,69.55
1958,66.6,72.9,69.75
1959,66.8,73.2,70
1960,66.6,73.1,69.85
1961,67,73.6,70.3
1962,66.8,73.4,70.1
1963,66.6,73.4,70
1964,66.9,73.7,70.3
1965,66.8,73.7,70.25
1966,66.7,73.8,70.25
1967,67,74.2,70.6
1968,66.6,74,70.3
1969,66.8,74.3,70.55
1970,67.1,74.7,70.9
1971,67.4,75,71.2
1972,67.4,75.1,71.25
1973,67.6,75.3,71.45
1974,68.2,75.9,72.05
1975,68.8,76.6,72.7
1976,69.1,76.8,72.95
1977,69.5,77.2,73.35
1978,69.6,77.3,73.45
1979,70,77.8,73.9
1980,70,77.4,73.7
1981,70.4,77.8,74.1
1982,70.8,78.1,74.45
1983,71,78.1,74.55
1984,71.1,78.2,74.65
1985,71.1,78.2,74.65
1986,71.2,78.2,74.7
1987,71.4,78.3,74.85
1988,71.4,78.3,74.85
1989,71.7,78.5,75.1
1990,71.8,78.8,75.3
1991,72,78.9,75.45
1992,72.3,79.1,75.7
1993,72.2,78.8,75.5
1994,72.3,79,75.65
1995,72.5,78.9,75.7
1996,73.1,79.1,76.1
1997,73.6,79.4,76.5
1998,73.8,79.5,76.65
1999,73.9,79.4,76.65
2000,74.1,79.3,76.7
2001,74.3,79.5,76.9
2002,74.4,79.6,77
2003,74.5,79.7,77.1
2004,75,80.1,77.55
2005,75,80.1,77.55
2006,75.2,80.3,77.75
2007,75.5,80.6,78.05
2008,75.6,80.6,78.1
2009,76,80.9,78.45
2010,76.2,81,78.6
2011,76.3,81.1,78.7
2012,76.4,81.2,78.8
2013,76.4,81.2,78.8
2014,76.5,81.3,78.9
2015,76.3,81.1,78.7
2016,76.1,81.1,78.6
